Date,Gen Guide Bearing Temp,Gen Thrust Bearing Temperature
27/12/2019,,
28/12/2019,,
29/12/2019,,
30/12/2019,,
31/12/2019,,
1/1/2020,,
2/1/2020,,
3/1/2020,,
4/1/2020,,
5/1/2020,,
6/1/2020,,
7/1/2020,68,66
8/1/2020,,
9/1/2020,,
10/1/2020,,
11/1/2020,69,71
12/1/2020,66,70
13/1/2020,69,71
14/1/2020,76,72
15/1/2020,69,73
16/1/2020,68,71
17/1/2020,67,72
18/1/2020,68,70
19/1/2020,68,71
20/1/2020,68,72
21/1/2020,62,67
22/1/2020,,
23/1/2020,,
24/1/2020,,
25/1/2020,,
26/1/2020,,
27/1/2020,,
28/1/2020,,
29/1/2020,,
30/1/2020,,
31/1/2020,,
1/2/2020,,
2/2/2020,,
3/2/2020,,
4/2/2020,,
5/2/2020,,
6/2/2020,,
7/2/2020,,
8/2/2020,,
9/2/2020,70,66
10/2/2020,69,70
11/2/2020,69,71
12/2/2020,69,73
13/2/2020,69,73
14/2/2020,,
15/2/2020,60,65
16/2/2020,,
17/2/2020,68,73
18/2/2020,69,73
19/2/2020,62,69
20/2/2020,69,71
21/2/2020,70,71
22/2/2020,70,71
23/2/2020,69,74
24/2/2020,69,72
25/2/2020,70,72
26/2/2020,,
27/2/2020,69,72
28/2/2020,68,70
29/2/2020,69,73
1/3/2020,69,71
2/3/2020,69,71
3/3/2020,69,72
4/3/2020,69,72
5/3/2020,70,73
6/3/2020,70,71
7/3/2020,,
8/3/2020,,
9/3/2020,,
10/3/2020,,
11/3/2020,68,72
12/3/2020,69,74
13/3/2020,70,72
14/3/2020,69,72
15/3/2020,70,71
16/3/2020,68,72
17/3/2020,,
18/3/2020,69,70
19/3/2020,,
20/3/2020,,
21/3/2020,,
22/3/2020,68,71
23/3/2020,69,71
24/3/2020,,
25/3/2020,,
26/3/2020,,
27/3/2020,,
28/3/2020,69,71
29/3/2020,70,69
30/3/2020,70,72
31/3/2020,71,72
1/4/2020,71,71
2/4/2020,72,70
3/4/2020,72,70
4/4/2020,72,70
5/4/2020,68,70
6/4/2020,69,71
7/4/2020,70,71
8/4/2020,70,71
9/4/2020,70,71
10/4/2020,,
11/4/2020,67,67
12/4/2020,,
13/4/2020,62,65
14/4/2020,,
15/4/2020,66,67
16/4/2020,69,71
17/4/2020,64,66
18/4/2020,67,69
19/4/2020,68,73
20/4/2020,69,71
21/4/2020,69,71
22/4/2020,60,64
23/4/2020,64,67
24/4/2020,,
25/4/2020,70,72
26/4/2020,,
27/4/2020,69,71
28/4/2020,70,71
29/4/2020,70,72
30/4/2020,59,63
1/5/2020,59,63
2/5/2020,69,69
3/5/2020,,
4/5/2020,69,71
5/5/2020,69,71
6/5/2020,70,71
7/5/2020,69,73
8/5/2020,69,77
9/5/2020,68,69
10/5/2020,68,68
11/5/2020,68,69
12/5/2020,68,70
13/5/2020,68,71
14/5/2020,71,68
15/5/2020,70,69
16/5/2020,70,73
17/5/2020,71,68
18/5/2020,70,69
19/5/2020,70,73
20/5/2020,68,72
21/5/2020,70,72
22/5/2020,68,71
23/5/2020,69,71
24/5/2020,69,71
25/5/2020,70,71
26/5/2020,70,70
27/5/2020,70,73
28/5/2020,70,71
29/5/2020,70,71
30/5/2020,71,71
31/5/2020,,
1/6/2020,70,71
2/6/2020,70,73
3/6/2020,73,70
4/6/2020,71,73
5/6/2020,80,71
6/6/2020,,
7/6/2020,,
8/6/2020,69,71
9/6/2020,68,67
10/6/2020,67,68
11/6/2020,69,71
12/6/2020,71,72
13/6/2020,71,72
14/6/2020,71,69
15/6/2020,72,70
16/6/2020,72,72
17/6/2020,72,73
18/6/2020,72,70
19/6/2020,71,69
20/6/2020,70,73
21/6/2020,71,75
22/6/2020,71,75
23/6/2020,72,76
